,job_no,task_no,task_inst_num_mean,task_inst_cpu_mean,task_inst_cpu_std,task_memory_mean,task_memory_std,task_inst_duration_mean,task_inst_duration_std,random_tictoc,random_avg_makespans,makespan-random_env_now,random_global_step,random_avg_completions,random_avg_slowdowns,first_fit_tictoc,first_fit_avg_makespans,makespan-ff_env_now,first_fit_global_step,first_fit_avg_completions,first_fit_avg_slowdowns,tetris_tictoc,tetris_avg_makespans,makespan-tetris_env_now,tetris_global_step,tetris_avg_completions,tetris_avg_slowdowns
0,10,64,29.84375,0.8327225130890052,0.2359173283763602,0.006546203412621091,0.0025174546359823732,84.36230366492147,76.16300473688976,0.2308650016784668,615,615,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",55.28491253330039,1.5392379933024671,0.16689610481262207,633,633,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",39.97241253330038,1.2772908895647883,0.4019148349761963,640,640,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",40.80053753330038,1.24200437449566
1,10,42,68.66666666666667,0.548873092926491,0.08931049943481728,0.007673701595292347,0.0035793048752675843,131.7059566029239,93.73802060091421,0.21161794662475586,802,802,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",111.79680334629826,4.641192688048982,0.2144780158996582,763,763,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",65.46347001296496,1.3489737507677315,0.5065431594848633,817,817,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",65.79680334629828,2.6512700034245595
2,10,23,101.82608695652173,0.670794192997438,0.23712115075857934,0.005909623642464575,0.0011856742768309838,92.98888706453852,55.30896384074107,0.23543000221252441,481,481,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",147.06273102648902,16.336245875003673,0.1697218418121338,603,603,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",77.9757745047499,1.692271998910852,0.4290790557861328,515,515,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",83.9757745047499,3.4692082829450896
3,10,37,98.4054054054054,0.5060697610546553,0.038281751843691134,0.011992525128524964,0.003420235574512273,181.35068952799466,139.35243138903354,0.4202880859375,1710,1710,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",301.2426494612374,4.685385265847855,0.4233410358428955,1772,1772,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",199.62102783961578,1.9444298618022966,0.9759299755096436,1914,1914,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",297.32373054231846,3.2993085628918903
4,10,79,30.21518987341772,0.6217008797653959,0.21456778823259237,0.008086635159595516,0.002265494303618473,81.58193247973678,89.14660729030611,0.19361472129821777,525,525,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",56.526761774153854,4.520402392964476,0.30196595191955566,510,510,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",41.22296430579941,1.900530435858788,0.4154078960418701,586,586,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",38.91916683744498,1.344223923436438
5,10,45,38.91111111111111,0.576527698458024,0.18002044494370564,0.012903114125111465,0.00395005664692635,58.06422437367611,30.836820383345948,0.18527626991271973,363,363,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",46.63035848069697,1.3342550273507388,0.1395409107208252,487,487,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",38.585914036252525,1.1847532518058994,0.3768630027770996,364,364,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",46.69702514736364,1.5274901117389008
6,10,52,29.73076923076923,0.5,0.0,0.007723179638264468,0.002174410437669861,35.46895213454076,25.428759122864182,0.20923209190368652,372,372,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",31.77576980694831,1.0,0.15025091171264648,372,372,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",31.77576980694831,1.0,0.42589592933654785,372,372,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",31.77576980694831,1.0
7,10,40,70.9,0.6671015514809592,0.2052987904358755,0.00882253444468958,0.0033667731016100645,99.97761928839452,82.18804101155142,0.49257707595825195,782,782,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",102.24434738189682,1.6000942589170606,0.28011298179626465,781,781,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",80.51934738189684,1.2425413785482124,0.6712889671325684,745,745,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",90.74434738189684,1.723429260355518
8,10,41,64.4390243902439,0.5632664647993945,0.1341309403644483,0.011478404292588696,0.0031573523433889674,77.68572452739639,37.24941804385578,0.3272979259490967,508,508,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",190.6666641917347,3.4037493569064488,0.2612128257751465,534,534,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",94.03251785027132,1.3901199859586932,0.5709002017974854,575,575,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",119.78861541124694,1.697714323419076
9,10,32,28.65625,0.6415485278080697,0.20437419732086543,0.009670872854051101,0.003956687616066245,77.66848418756815,76.8242922765155,0.07163000106811523,384,384,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",39.358292274863544,1.1079622686640633,0.058413028717041016,374,374,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",33.295792274863544,1.0198066131482326,0.17867088317871094,364,364,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=26>",34.108292274863544,1.027818774941513
