,RAC_total_rewards,RAC_avg_rewards
0,-4058,-1.6135188866799204
1,-7469,-2.0164686825053995
2,-4325,-1.5223512847588878
3,-9763,-1.8224752660070935
4,-3960,-1.343739395995928
5,-2670,-1.2588401697312588
6,-1661,-0.8660062565172054
7,-4160,-1.1488539077602873
8,-8184,-2.593155893536122
9,-1234,-0.9633099141295862
