,RAM_total_rewards,RAM_avg_rewards
0,-653,-0.13400369382310692
1,-648,-0.13311421528348397
2,-661,-0.13542306904322884
3,-652,-0.13382594417077176
4,-653,-0.13400369382310692
5,-646,-0.1327579120427456
6,-656,-0.13453650533223954
7,-653,-0.13400369382310692
8,-672,-0.1373671300081766
9,-655,-0.13435897435897437
10,-647,-0.132936100267105
11,-635,-0.13079299691040164
12,-644,-0.13240131578947367
13,-639,-0.13150854085202718
14,-644,-0.13240131578947367
15,-638,-0.13132976533552904
16,-642,-0.1320444261620732
17,-646,-0.1327579120427456
18,-642,-0.1320444261620732
19,-641,-0.1318658712199136
20,-643,-0.13222290767016245
21,-643,-0.13222290767016245
22,-645,-0.13257965056526208
23,-637,-0.13115091620341776
24,-647,-0.132936100267105
25,-638,-0.13132976533552904
26,-644,-0.13240131578947367
27,-640,-0.13168724279835392
28,-635,-0.13079299691040164
29,-641,-0.1318658712199136
30,-637,-0.13115091620341776
31,-644,-0.13240131578947367
32,-641,-0.1318658712199136
33,-636,-0.13097199341021418
34,-641,-0.1318658712199136
35,-633,-0.13043478260869565
36,-636,-0.13097199341021418
37,-643,-0.13222290767016245
38,-636,-0.13097199341021418
39,-641,-0.1318658712199136
40,-641,-0.1318658712199136
41,-636,-0.13097199341021418
42,-635,-0.13079299691040164
43,-640,-0.13168724279835392
44,-638,-0.13132976533552904
45,-640,-0.13168724279835392
46,-640,-0.13168724279835392
47,-642,-0.1320444261620732
48,-637,-0.13115091620341776
49,-637,-0.13115091620341776
50,-643,-0.13222290767016245
51,-636,-0.13097199341021418
52,-638,-0.13132976533552904
53,-636,-0.13097199341021418
54,-641,-0.1318658712199136
55,-643,-0.13222290767016245
56,-638,-0.13132976533552904
57,-637,-0.13115091620341776
58,-645,-0.13257965056526208
59,-639,-0.13150854085202718
60,-645,-0.13257965056526208
61,-645,-0.13257965056526208
62,-641,-0.1318658712199136
63,-639,-0.13150854085202718
64,-641,-0.1318658712199136
65,-639,-0.13150854085202718
66,-641,-0.1318658712199136
67,-636,-0.13097199341021418
68,-636,-0.13097199341021418
69,-638,-0.13132976533552904
70,-639,-0.13150854085202718
71,-640,-0.13168724279835392
72,-640,-0.13168724279835392
73,-644,-0.13240131578947367
74,-638,-0.13132976533552904
75,-644,-0.13240131578947367
76,-641,-0.1318658712199136
77,-643,-0.13222290767016245
78,-641,-0.1318658712199136
79,-641,-0.1318658712199136
80,-640,-0.13168724279835392
81,-636,-0.13097199341021418
82,-639,-0.13150854085202718
83,-642,-0.1320444261620732
84,-639,-0.13150854085202718
85,-634,-0.13061392665842603
86,-636,-0.13097199341021418
87,-640,-0.13168724279835392
88,-643,-0.13222290767016245
89,-641,-0.1318658712199136
90,-641,-0.1318658712199136
91,-641,-0.1318658712199136
92,-636,-0.13097199341021418
93,-640,-0.13168724279835392
94,-637,-0.13115091620341776
95,-641,-0.1318658712199136
96,-637,-0.13115091620341776
97,-638,-0.13132976533552904
98,-636,-0.13097199341021418
99,-635,-0.13079299691040164
100,-640,-0.13168724279835392
101,-629,-0.1297174675190761
102,-638,-0.13132976533552904
103,-632,-0.1302555647155812
104,-629,-0.1297174675190761
105,-637,-0.13115091620341776
106,-635,-0.13079299691040164
107,-636,-0.13097199341021418
