task_id,instances_num,task_type,job_id,status,start_time,end_time,cpu,memory,duration,disk,submit_time
R2_1,1,A,1,Terminated,87076,87086,50,0.2,10,0,0
M1,1,A,1,Terminated,87076,87083,50,0.2,7,0,0
R6_3,371,A,1,Terminated,157297,157325,100,0.49,28,0,0
J4_2_3,1111,A,1,Terminated,157329,157376,100,0.59,47,0,0
R2_1,1,A,1,Terminated,157322,157328,100,0.39,6,0,0
J8_3_7,1111,A,1,Terminated,157331,157376,100,0.59,45,0,0
M3,12846,A,1,Terminated,157213,157295,100,0.3,82,0,0
R9_8,1,A,1,Terminated,157376,157381,100,0.39,5,0,0
R1_3,371,A,1,Terminated,157297,157322,100,0.49,25,0,0
R5_4,1,A,1,Terminated,157376,157381,100,0.39,5,0,0
R7_6,1,A,1,Terminated,157326,157330,100,0.39,4,0,0
M1,1,A,1,Terminated,299703,299707,100,0.3,4,0,0
R2_1,1,A,1,Terminated,299707,299710,100,0.39,3,0,0
R5_4,1,A,1,Terminated,316284,316295,50,0.2,11,0,0
M6,1138,A,1,Terminated,316284,316297,50,0.2,13,0,0
R16_15,1,A,1,Terminated,316284,316310,50,0.2,26,0,0
R10_9,1,A,1,Terminated,316284,316294,50,0.2,10,0,0
M1,1,A,1,Terminated,316284,316295,50,0.2,11,0,0
R15_14,1,A,1,Terminated,316284,316310,50,0.2,26,0,0
M8,1,A,1,Terminated,316284,316294,50,0.2,10,0,0
M11,116,A,1,Terminated,316284,316302,50,0.2,18,0,0
J13_2_5_7_12,3,A,1,Terminated,316284,316310,50,0.2,26,0,0
J12_10_11,1,A,1,Terminated,316284,316302,50,0.2,18,0,0
R2_1,1,A,1,Terminated,316284,316295,50,0.2,11,0,0
R7_6,5,A,1,Terminated,316284,316305,50,0.3,21,0,0
R4_3,1,A,1,Terminated,316284,316295,50,0.2,11,0,0
R14_13,1,A,1,Terminated,316284,316310,50,0.2,26,0,0
R9_8,1,A,1,Terminated,316284,316294,50,0.2,10,0,0
R17_16,1,A,1,Terminated,316284,316310,50,0.2,26,0,0
M3,1,A,1,Terminated,316284,316295,50,0.2,11,0,0
M4_3,1,A,1,Terminated,119444,119493,100,0.3,49,0,0
M1,1,A,1,Terminated,119444,119471,100,0.3,27,0,0
R3_2,1,A,1,Terminated,119444,119471,100,0.39,27,0,0
R5_4,1,A,1,Terminated,119444,119493,100,0.39,49,0,0
R2_1,1,A,1,Terminated,119444,119471,100,0.49,27,0,0
M1,1,A,1,Terminated,209345,209349,50,0.39,4,0,0
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,1,A,10,Terminated,580371,580515,75,0.1,144,0,0
M1,2,A,1,Terminated,222975,222978,100,0.3,3,0,0
R2_1,1,A,1,Terminated,222975,222978,100,0.49,3,0,0
R3_2,1,A,1,Terminated,222975,222978,100,0.39,3,0,0
M1,1,A,1,Terminated,97678,97679,100,0.2,1,0,0
R3_2,1,A,1,Terminated,188349,188357,50,0.2,8,0,0
M1,1,A,1,Terminated,188349,188354,50,0.2,5,0,0
R2_1,1,A,1,Terminated,188349,188355,50,0.2,6,0,0
M1,1,A,1,Terminated,669954,669955,100,0.3,1,0,0
M3,100,A,1,Terminated,669954,669965,100,0.3,11,0,0
R7_6,1,A,1,Terminated,669954,669956,100,0.39,2,0,0
M8_5_7,141,A,1,Terminated,669954,669976,100,0.3,22,0,0
J9_2_3_8,243,A,1,Terminated,669954,669988,100,0.59,34,0,0
R10_9,243,A,1,Terminated,669954,670005,100,0.39,51,0,0
M6,1,A,1,Terminated,669954,669955,100,0.3,1,0,0
R2_1,1,A,1,Terminated,669954,669962,100,0.39,8,0,0
R5_4,1,A,1,Terminated,669954,669956,100,0.39,2,0,0
M4,1,A,1,Terminated,669954,669955,100,0.3,1,0,0
M1,1,A,1,Terminated,420324,420328,50,0.3,4,0,0
task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,1,A,6,Terminated,675912,675918,30,0.05,6,0,0
