,RAS_MyBrain_total_rewards,RAS_MyBrain_avg_rewards
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,-205.69774325770854,-0.03780513568419565
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,-215.56753443084824,-0.03958999714065165
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,-201.98305993724753,-0.03717023554237165
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,-210.13923787080475,-0.038593064806392054
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,-219.7943090560633,-0.04053749705939935
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,-213.35234993688164,-0.039305886134281806
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,-206.84623352565583,-0.038086214974342815
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,-206.73578786056225,-0.03815721444454822
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,-216.17371796104098,-0.03987709241118631
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,-210.4653054683412,-0.03875972476396707
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,-92.5291400558319,-0.04656725719971409
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,-96.04116271043259,-0.04833475727752017
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,-98.23652177229891,-0.049439618405787075
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,-96.43765545003828,-0.04853430067943547
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,-97.43132830403871,-0.04903438767188662
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,0.0
187,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,-96.85121270873395,-0.048742432163429265
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,0.0,0.0
198,0.0,0.0
199,-98.60810849706093,-0.04962662732615044
200,0.0,0.0
201,0.0,0.0
202,0.0,0.0
203,0.0,0.0
204,0.0,0.0
205,0.0,0.0
206,0.0,0.0
207,0.0,0.0
208,0.0,0.0
209,0.0,0.0
210,0.0,0.0
211,0.0,0.0
212,0.0,0.0
213,0.0,0.0
214,0.0,0.0
215,-100.43624282555456,-0.05054667479897059
216,0.0,0.0
217,0.0,0.0
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,0.0,0.0
222,0.0,0.0
223,0.0,0.0
224,0.0,0.0
225,-99.1783170902674,-0.04991359692514716
226,0.0,0.0
227,0.0,0.0
228,0.0,0.0
229,0.0,0.0
230,0.0,0.0
231,0.0,0.0
232,0.0,0.0
233,0.0,0.0
234,0.0,0.0
235,0.0,0.0
236,0.0,0.0
237,0.0,0.0
238,0.0,0.0
239,-96.41525750717207,-0.04852302843843587
240,0.0,0.0
241,0.0,0.0
242,0.0,0.0
243,0.0,0.0
244,0.0,0.0
245,0.0,0.0
246,0.0,0.0
247,0.0,0.0
248,0.0,0.0
249,0.0,0.0
250,0.0,0.0
251,-287.00488915588016,-0.08473719786119875
252,0.0,0.0
253,0.0,0.0
254,0.0,0.0
255,0.0,0.0
256,0.0,0.0
257,0.0,0.0
258,0.0,0.0
259,0.0,0.0
260,0.0,0.0
261,0.0,0.0
262,0.0,0.0
263,-297.67938108834375,-0.0879927227574176
264,0.0,0.0
265,0.0,0.0
266,0.0,0.0
267,0.0,0.0
268,0.0,0.0
269,0.0,0.0
270,0.0,0.0
271,0.0,0.0
272,0.0,0.0
273,0.0,0.0
274,0.0,0.0
275,-310.5214413514544,-0.0913567053108133
276,0.0,0.0
277,0.0,0.0
278,0.0,0.0
279,0.0,0.0
280,0.0,0.0
281,0.0,0.0
282,0.0,0.0
283,0.0,0.0
284,0.0,0.0
285,0.0,0.0
286,0.0,0.0
287,-287.6504194888547,-0.08470271480826111
288,0.0,0.0
289,0.0,0.0
290,0.0,0.0
291,0.0,0.0
292,0.0,0.0
293,0.0,0.0
294,0.0,0.0
295,0.0,0.0
296,0.0,0.0
297,0.0,0.0
298,-284.7358866498338,-0.08426631744594075
299,0.0,0.0
300,0.0,0.0
301,0.0,0.0
302,0.0,0.0
303,0.0,0.0
304,0.0,0.0
305,0.0,0.0
306,0.0,0.0
307,0.0,0.0
308,0.0,0.0
309,0.0,0.0
310,0.0,0.0
311,-290.27659691278797,-0.08588064997419763
312,0.0,0.0
313,0.0,0.0
314,0.0,0.0
315,0.0,0.0
316,0.0,0.0
317,0.0,0.0
318,0.0,0.0
319,0.0,0.0
320,0.0,0.0
321,0.0,0.0
322,-283.03383884880486,-0.08336784649449333
323,0.0,0.0
324,0.0,0.0
325,0.0,0.0
326,0.0,0.0
327,0.0,0.0
328,0.0,0.0
329,0.0,0.0
330,0.0,0.0
331,0.0,0.0
332,0.0,0.0
333,0.0,0.0
334,0.0,0.0
335,-306.4796194770566,-0.09019411991673237
336,0.0,0.0
337,0.0,0.0
338,0.0,0.0
339,0.0,0.0
340,0.0,0.0
341,0.0,0.0
342,0.0,0.0
343,0.0,0.0
344,0.0,0.0
345,0.0,0.0
346,0.0,0.0
347,-300.09223975476976,-0.08860119272358127
348,0.0,0.0
349,0.0,0.0
350,0.0,0.0
351,0.0,0.0
352,0.0,0.0
353,0.0,0.0
354,0.0,0.0
355,0.0,0.0
356,0.0,0.0
357,0.0,0.0
358,-298.23807954564467,-0.08807976359883185
359,0.0,0.0
360,0.0,0.0
361,0.0,0.0
362,0.0,0.0
363,0.0,0.0
364,0.0,0.0
365,0.0,0.0
366,0.0,0.0
367,0.0,0.0
368,0.0,0.0
369,0.0,0.0
370,0.0,0.0
371,-408.7824280138867,-0.0779821495638853
372,0.0,0.0
373,0.0,0.0
374,0.0,0.0
375,0.0,0.0
376,0.0,0.0
377,0.0,0.0
378,0.0,0.0
379,0.0,0.0
380,0.0,0.0
381,0.0,0.0
382,0.0,0.0
383,-413.1049674688478,-0.07882178352773284
384,0.0,0.0
385,0.0,0.0
386,0.0,0.0
387,0.0,0.0
388,0.0,0.0
