Unnamed: 0,reward_avg_slowdowns_avg_makespans,reward_avg_slowdowns_tictoc,reward_avg_slowdowns_avg_completions,reward_avg_slowdowns_avg_slowdowns,reward_avg_slowdowns_total_rewards,reward_avg_slowdowns_avg_rewards
11,653.4166666666666,56.220892906188965,151.3624124062784,2.949889076005892,-305.12219776730063,-0.062614856919208
12,652.9166666666666,55.39169073104858,150.00040523781962,2.916943429343944,-321.9853744940338,-0.06610251991255058
13,653.0833333333334,57.461845874786384,149.6213729797551,2.892116607571585,-291.4811897406252,-0.059815552994177124
14,653.1666666666666,56.30676436424256,149.9475378543071,2.902735517706123,0.0,0.0
15,653.75,55.53113865852356,147.85345183280168,2.8502599423720087,-302.33767535163287,-0.062017984687514426
16,656.3333333333334,54.38320994377136,147.87495720914578,2.8471400950156998,-294.5906424385832,-0.0604784730935297
17,652.5833333333334,54.24730801582336,149.04431204785547,2.8805426041053592,-299.04908919709237,-0.06133082223074085
18,652.6666666666666,56.421881675720215,151.12495720914578,2.9304671707578502,0.0,0.0
19,653.8333333333334,56.293383359909065,150.1357098973178,2.9132328188192567,-294.3544613748328,-0.0604051839472261
20,651.0833333333334,56.79851222038269,150.58373857115296,2.9117600420017893,-290.32539619138834,-0.05955392742387454
21,651.8333333333334,56.862820863723755,151.77728695824973,2.9335083319019013,-289.06918769988783,-0.05925977607623776
22,653.4166666666666,56.66923713684082,153.6751364206153,2.9900023180248483,0.0,0.0
23,651.75,56.84018063545227,153.2674303274254,2.9909718800320317,-304.1616444154605,-0.062392132187786775
24,650.25,57.302040815353394,153.60614000484472,2.9885156008222373,-307.58721042321565,-0.06319852279088052
25,650.5833333333334,56.24015426635742,153.62316509445048,3.0013153564830883,-312.26918156154875,-0.0640552167305741
26,650.75,58.04649567604065,155.25309340986266,3.0419206584130154,-307.05570456858607,-0.06302456990324018
27,650.4166666666666,58.325133562088006,153.39467047079452,2.9768420795122243,-319.0560771717197,-0.06555497784502151
28,650.8333333333334,57.785778760910034,151.18947333817806,2.932157067536629,-307.3594008210706,-0.06309985646090548
29,652.25,55.559592723846436,151.1796167073537,2.9260850700325,-302.38545125610256,-0.062078721259721324
30,654.6666666666666,58.06608438491821,147.71635505860814,2.8317911320553844,-291.17971322896096,-0.05977822074090763
31,656.0,57.07685971260071,147.9717314026942,2.8341154731196148,-294.1985212502654,-0.06028658222341505
32,652.4166666666666,56.15872025489807,148.2665342700777,2.844286257607642,-292.19514109377684,-0.05991288519454108
33,652.75,57.996248960495,148.77728695824973,2.863200589231491,-299.2313872791044,-0.061431202479799725
34,654.0,57.58830165863037,148.96456294391282,2.8701262761624524,-301.2393741294988,-0.061767351677157835
35,651.6666666666666,57.84499216079712,148.54700021989848,2.8656796656678893,-295.4640042390048,-0.06055831199815635
36,651.5,54.87165307998657,148.22710774678018,2.849502491644067,0.0,0.0
37,652.5,58.382636308670044,149.56492136685188,2.8845827778018123,-294.5206347572422,-0.06043928478498711
38,651.5,58.204398393630974,149.95112208369778,2.8953425699648485,0.0,0.0
39,651.75,56.441919803619385,149.10793211954,2.8832819203284203,-296.41588602485314,-0.06087818566951182
40,651.75,56.59661817550659,151.7244195747372,2.9416157403073906,0.0,0.0
41,650.75,57.780774354934685,151.58015434176227,2.961870709359171,-311.950048431935,-0.06398975352449947
42,651.1666666666666,58.9969654083252,151.2566776392533,2.9290548973949235,-297.2780488403892,-0.06101766191305196
43,651.6666666666666,54.3840434551239,149.10703606219238,2.8939083533628733,-311.90133771643895,-0.06404544922308808
44,652.1666666666666,56.72585487365723,150.64108624140385,2.920721565235052,-314.434069999209,-0.06448606849860726
45,652.0,56.54149270057678,151.0219106141637,2.9410406325728955,-310.03738616141743,-0.06363657351424824
46,652.25,56.18703484535217,149.74950918047196,2.9048920637840148,-298.31831834285737,-0.06126890908664149
47,654.75,56.57907366752625,150.4860683202569,2.9215566941797166,-297.9194264096305,-0.06119955349417225
48,652.3333333333334,56.01030254364014,151.39825470018522,2.9282400862669973,-314.7119695816517,-0.06458279695909126
49,655.0,56.10610914230347,149.81312925215653,2.901945908009317,-301.8613211906689,-0.06189487824290935
50,653.9166666666666,54.08793592453003,150.14556652814218,2.897084792851152,-308.599444390539,-0.06328946767648462
51,653.1666666666666,56.36167311668396,150.22531563208486,2.9113046699666563,-309.9161291538652,-0.06357253931361337
52,654.0,54.25395488739014,149.1581113310096,2.8891291548195106,-300.13403759279174,-0.06157858793450795
53,654.4166666666666,54.33260583877564,148.32746616971926,2.863941913259449,-299.9514350227517,-0.0615284994918465
54,655.0833333333334,54.69640946388245,147.4860683202569,2.8359343005351834,-305.91426608878726,-0.06268734960835805
55,655.75,56.65140557289124,145.8633084636261,2.7883412431647794,-287.8727766515517,-0.05909931772768461
56,656.6666666666666,58.369624376297,145.3283622270669,2.768357522036544,0.0,0.0
57,655.3333333333334,54.26628756523132,147.181408822049,2.8066422436594287,-279.64384122687426,-0.05738638235724897
58,652.1666666666666,54.71260142326355,147.69932996900243,2.823712098345317,-286.0576908511768,-0.05869053977250242
59,651.75,54.23374009132385,149.74771706577658,2.885199911816344,-299.9680363221492,-0.061595079326930015
60,652.3333333333334,59.03303599357605,149.8211937682856,2.892115224128375,-307.75974548142517,-0.06313020420131799
61,652.5833333333334,56.85257697105408,148.25130129516728,2.8485966270093286,-295.2181480965313,-0.06060729790526202
62,649.0833333333334,56.2320601940155,148.9421615102211,2.866306203903996,-290.62525613015134,-0.05968890041695449
63,649.3333333333334,56.533260107040405,148.93947333817803,2.857230160878716,-287.2436208313723,-0.0589701541431682
64,649.5833333333334,56.538954496383674,148.7566776392533,2.8571049052934754,-289.60625864626275,-0.059442992332976764
65,648.75,54.462124824523926,147.41976007652931,2.81895529965055,-281.0070406354513,-0.057689805098635034
66,651.25,54.01844716072082,146.07477799767625,2.7766536856562207,-278.0324984722879,-0.05704400871405167
67,650.5833333333334,56.837578296661384,146.4107995030526,2.783305821617574,-284.784790487937,-0.05845336422166195
68,650.25,59.24279499053955,147.44843391165475,2.820625629595865,-282.0682084710128,-0.05788389256536279
69,648.8333333333334,56.517059087753296,148.67603247796302,2.8517521864509607,0.0,0.0
70,649.5,56.45650267601013,150.02280667151138,2.879346321096941,-294.038490164012,-0.060439566323537926
71,650.0833333333334,56.46614480018616,149.32836222706698,2.868592277609056,-301.12081757807135,-0.061857193421953865
