Unnamed: 0,reward_avg_completions_avg_makespans,reward_avg_completions_tictoc,reward_avg_completions_avg_completions,reward_avg_completions_avg_slowdowns,reward_avg_completions_total_rewards,reward_avg_completions_avg_rewards
0,652.5833333333334,6.010041952133179,155.11689269301678,3.0769736935582994,-14876,-3.05148717948718
1,652.3333333333334,7.625608921051025,154.93857728083034,3.059980319783442,-14924,-3.0632183908045976
2,651.6666666666666,6.4204039573669425,154.7871435890741,3.053592256182592,-14837,-3.0453612479474548
3,653.3333333333334,6.52399492263794,155.77280667151138,3.09494648213388,-15194,-3.1167179487179486
4,650.9166666666666,6.327475070953369,155.1016597181064,3.071858382043088,-15197,-3.1211747792154445
5,652.0833333333334,6.4416348934173575,154.08642674319597,3.041185391988277,0,0.0
6,653.1666666666666,6.689967155456543,153.849867603411,3.0377624924216815,-15114,-3.0996718621821167
7,651.8333333333334,6.574682950973512,152.0702977109379,2.9964006540372776,-14752,-3.028536234859372
8,652.5,6.717540979385376,153.04700021989848,2.989932261410272,-14925,-3.062794992817566
9,650.75,6.474442958831787,153.55058444928915,3.0017038858614984,-15034,-3.0857963875205257
10,653.5833333333334,6.421247005462647,154.27997513029277,3.047922661710753,-15237,-3.1268212600041037
11,652.25,6.53658390045166,152.9125916177479,2.9966016222648637,0,0.0
12,652.0833333333334,6.410974979400635,152.9439536249164,2.99593405284563,-15153,-3.1089454247025032
13,651.1666666666666,6.516751289367676,152.9000468148805,2.994456589050948,0,0.0
14,652.0,6.1842708587646475,153.7862475317264,3.028167883478495,-15318,-3.1427985227739024
15,651.6666666666666,6.572497844696045,153.4887564922999,3.0068448496252675,-14480,-2.972695545062616
16,652.5,6.5909950733184814,154.37943749588416,3.0402833482633813,-15224,-3.123512515387772
17,651.5,6.675863742828369,153.9573944851315,3.0409225178612416,-14734,-3.0235994254052945
18,652.9166666666666,6.331112146377564,155.6151005783214,3.0730504571779584,-15101,-3.0989123743074085
19,652.4166666666666,6.219631910324098,154.0344554170311,3.025260288263212,-14974,-3.0741120919729013
20,650.4166666666666,6.2656309604644775,154.32119376828555,3.0419161326378905,-14632,-3.0051345245430268
21,651.6666666666666,6.401702880859375,154.95381025574076,3.0612961238927965,-15023,-3.0835385878489325
22,651.6666666666666,6.205329895019531,155.32477799767625,3.0780983443221963,0,0.0
23,649.5,6.601036071777344,157.7530934098626,3.141660634509032,-15197,-3.1198932457400943
24,650.0,6.224368095397949,158.15273498692355,3.1694756664836774,-15328,-3.1448502256873203
25,646.8333333333334,6.215922117233276,159.50578158190564,3.2129742390859337,0,0.0
26,643.6666666666666,6.658038854598999,161.1357098973178,3.2932733953067874,-16022,-3.291290057518488
27,640.1666666666666,6.675503969192505,163.17692853531062,3.3533683498460314,-15695,-3.2254418413481303
28,642.25,6.727226257324219,161.18947333817803,3.2641386361338096,-15403,-3.1726055612770336
29,640.8333333333334,6.505443096160889,163.20112208369775,3.3368951725634965,0,0.0
30,637.5,6.201565980911255,165.31044108011352,3.426444546657331,0,0.0
31,634.9166666666666,6.294328212738037,165.94484968226402,3.472577580491204,-15884,-3.27437641723356
32,629.0833333333334,6.5529890060424805,169.90631921631422,3.6078350058233415,0,0.0
33,628.9166666666666,6.320448160171509,171.24323677903826,3.6476401336887623,-16265,-3.3570691434468523
34,627.3333333333334,6.328784942626952,171.6330217252748,3.6620040271114616,-16726,-3.450794305756138
35,621.3333333333334,6.798256874084473,176.06223319480884,3.812408309235112,-16714,-3.455447591482324
36,620.5,6.366395950317383,175.3131292521565,3.780759800101425,-16911,-3.4911230388109
37,614.1666666666666,6.8925020694732675,179.19574573961174,3.920211435731832,-17327,-3.5836608066184072
38,620.8333333333334,6.2948691844940186,175.14556652814215,3.792814730253932,-17008,-3.5111478117258463
39,615.75,6.893670320510863,177.63750201201313,3.8804050059460486,-17295,-3.5777823748448485
40,620.75,6.8065149784088135,175.92244824857232,3.822121799057959,-17208,-3.5524360033030558
41,612.5,6.672697305679321,181.88212566792708,4.018619477928847,-17580,-3.6382450331125833
42,618.0833333333334,6.488154888153076,179.2414446643428,3.9299661180085987,0,0.0
43,612.5,6.874453067779541,183.3830217252748,4.096862495992799,0,0.0
44,612.75,6.497788190841675,182.38122961057945,4.055666666645775,0,0.0
45,614.0833333333334,6.971121072769165,184.68499305143962,4.1634921318917835,-18251,-3.7747673216132367
46,614.0,6.605307102203369,183.76922244212062,4.154973163112213,-17746,-3.6710798510550267
47,613.4166666666666,6.5827720165252686,185.458290542479,4.200876916233528,0,0.0
48,613.75,7.0118751525878915,186.4251364206152,4.281189344622224,-18705,-3.870266914959653
49,614.5,6.7332940101623535,189.458290542479,4.401487913375952,0,0.0
50,614.5833333333334,6.680583953857423,186.04968839194146,4.303962408088478,-18317,-3.7884177869700095
51,615.5,6.600984811782838,185.54341599050773,4.2333797067280585,-18011,-3.722050010332713
52,615.9166666666666,6.99510669708252,184.26384609803463,4.153494327197183,-18155,-3.754912099276112
53,614.1666666666666,6.991458177566527,179.27280667151138,3.969220959505785,0,0.0
54,614.3333333333334,6.602066993713379,181.1267493238411,4.059975979643717,0,0.0
55,613.9166666666666,7.074696063995361,181.11510057832137,4.044254926372261,0,0.0
56,615.3333333333334,6.929633617401122,184.32119376828555,4.177575171434589,-17956,-3.714522134877948
57,614.0833333333334,7.086678981781006,180.4788998614755,4.036548358788944,-17456,-3.611088125775755
58,615.0833333333334,7.089859008789063,182.56044108011343,4.107324554131109,-17721,-3.665908150599917
59,615.3333333333334,7.108896017074585,186.9538102557407,4.296666611120998,-18180,-3.7616387337057726
60,615.75,6.562265872955322,180.6599034457049,4.071664533144866,-17340,-3.5863495346432264
61,615.9166666666666,7.420756101608276,183.70291419839302,4.1737402415395035,-17964,-3.71540847983454
62,614.75,7.1365368366241455,181.7288998614755,4.106649839482999,0,0.0
63,616.4166666666666,6.664420127868652,185.5819464564576,4.2537863255516735,-17997,-3.721464019851117
64,615.25,7.180140972137451,188.02997513029263,4.3648049752619436,0,0.0
65,614.4166666666666,6.662532091140747,189.1088281768877,4.4206231464864585,-18295,-3.7862168874172175
66,615.1666666666666,7.132191896438599,189.71187477186982,4.469316381727116,-18471,-3.822640728476821
67,615.0833333333334,7.155193090438843,190.5801543417622,4.500307890992948,-18773,-3.8835333057509303
68,615.1666666666666,6.832566976547241,189.5425199331601,4.4925770067357575,-18738,-3.8746898263027294
69,615.1666666666666,6.767560005187987,189.9457457396117,4.4534561260421714,-18827,-3.893093465674111
70,616.0,7.224929094314575,190.81044108011343,4.508716585043177,-18770,-3.88210961737332
71,615.5833333333334,7.180301189422607,188.4116955604002,4.413941526470737,-18342,-3.7928039702233254
72,615.0,6.857413768768311,190.3247779976762,4.485095040722084,-18850,-3.8986556359875904
73,614.5,6.826339244842528,189.40631921631416,4.43378335023027,-18503,-3.82688728024819
74,615.25,7.277455806732178,189.24682100842884,4.436797721120642,-18663,-3.859979317476732
75,615.3333333333334,6.817129850387572,189.73875649229987,4.445767743719446,-18454,-3.817542407943732
76,614.5833333333334,7.176143169403076,190.44753785430697,4.4523015278757,-18143,-3.7532064542821684
77,614.4166666666666,6.8556952476501465,190.1168926930167,4.42986691119807,-18648,-3.856876938986556
78,614.8333333333334,7.459216117858888,191.5174303274253,4.506085276532126,-18827,-3.894704178733968
79,615.4166666666666,6.946858882904053,191.2521973525149,4.5079273805257944,-18611,-3.850020686801821
80,615.6666666666666,7.58089804649353,190.5532726213321,4.473423734307363,-18425,-3.810754912099276
81,617.4166666666666,7.641993999481201,189.45291419839302,4.434206537421312,-18673,-3.860450692578045
82,615.9166666666666,6.87313985824585,189.6679679618339,4.450388262884436,-19066,-3.9416994004548274
83,615.6666666666666,7.333369970321655,191.13929412670845,4.4855683935923185,-18536,-3.8321273516642544
84,616.6666666666666,6.9840641021728525,188.0631292521565,4.473624490746745,-19024,-3.933016332437461
85,616.5833333333334,6.904652118682861,191.64735864283747,4.530919572333665,-18886,-3.9052936311000823
86,617.4166666666666,7.470771312713622,187.73786043495215,4.432522066484455,-18753,-3.878593588417787
87,616.8333333333334,6.921894788742065,188.95291419839302,4.481828549800299,-18646,-3.854868720281166
88,617.25,7.301155090332031,189.1222690371027,4.49407271015351,-18752,-3.877584780810587
