,avg_makespans,tictoc,avg_completions,avg_slowdowns,total_rewards,avg_rewards
23,617.0,58.801718950271606,179.5909070299343,3.9497163735126644,-619,-0.12791899152717504
24,617.9166666666666,58.86047148704529,178.5559607933751,3.9258314827127276,-622,-0.1284593143329203
25,617.8333333333334,56.97122669219971,179.8014805066368,3.9678406166936213,-618,-0.12773873501446878
26,618.0833333333334,56.4856333732605,178.8453873166726,3.939841583835761,-618,-0.12773873501446878
27,615.0,59.13395094871521,181.18320093674433,4.011746476964534,-619,-0.12791899152717504
28,611.5833333333334,59.017789125442505,185.46277082921745,4.219417034327981,-612,-0.12665562913907286
29,612.0,60.218769788742065,184.89377441344683,4.179238233195917,-614,-0.12701696317749275
30,612.1666666666666,59.84388470649719,184.9296167073536,4.217284793198172,-612,-0.12665562913907286
31,611.8333333333334,59.843565464019775,186.15900738835717,4.256426029534524,-611,-0.12647484992755123
32,612.1666666666666,57.65467882156372,185.3247779976762,4.226738622682359,-612,-0.12665562913907286
33,611.5,59.97977685928345,184.63122961057942,4.215742072075206,-610,-0.12629399585921325
34,612.1666666666666,59.79000282287598,181.2020181410454,4.062309986373988,-612,-0.12665562913907286
35,611.75,60.967324018478394,184.95291419839305,4.244385890020159,-612,-0.12665562913907286
36,611.6666666666666,60.13644528388977,185.80506473602745,4.2836462604122785,-612,-0.12665562913907286
37,611.8333333333334,57.78383469581604,184.0774661697192,4.194328214446121,-613,-0.12683633354024415
38,611.6666666666666,57.83427667617798,184.10972423423536,4.196150375980321,-610,-0.12629399585921325
39,611.4166666666666,60.01592946052551,184.69753785430706,4.195853934665142,-611,-0.12647484992755123
40,612.0833333333334,58.15035843849182,182.8642045209737,4.110013592886825,-614,-0.12701696317749275
41,612.5833333333334,57.268688678741455,183.32029771093787,4.121167493320973,-612,-0.12665562913907286
42,611.5,59.634366035461426,183.99771706577658,4.168391682770753,-613,-0.12683633354024415
43,611.4166666666666,57.664345264434814,185.2100826571744,4.201119645894829,-610,-0.12629399585921325
44,611.4166666666666,58.54388952255249,185.10972423423536,4.1735500863158235,-612,-0.12665562913907286
45,612.0,59.51251196861267,184.7199392879988,4.174392701559948,-611,-0.12647484992755123
46,612.1666666666666,59.01298475265503,186.69932996900238,4.249941344904332,-613,-0.12683633354024415
47,612.1666666666666,61.99146270751953,184.7136668865651,4.210305907622689,-613,-0.12683633354024415
48,612.3333333333334,61.43015098571777,186.02907907294502,4.2508967698397635,-614,-0.12701696317749275
49,612.4166666666666,58.6822726726532,185.49861312312422,4.233919295567758,-613,-0.12683633354024415
50,612.5833333333334,60.77882242202759,185.93857728083034,4.260729047100469,-613,-0.12683633354024415
51,612.0,60.407044887542725,184.94126545287335,4.215652910716249,-612,-0.12665562913907286
52,611.9166666666666,57.7792854309082,185.29789627724608,4.229306296880881,-613,-0.12683633354024415
53,611.9166666666666,60.46196484565735,184.86868480771204,4.2077702828095,-614,-0.12701696317749275
54,611.6666666666666,58.64998698234558,185.89198229875146,4.2546363659344015,-611,-0.12647484992755123
55,612.1666666666666,61.63684272766113,182.65094287222814,4.207651536625025,-612,-0.12665562913907286
56,612.0833333333334,58.758610248565674,185.01384609803463,4.246459880151437,-613,-0.12683633354024415
57,612.25,62.40619421005249,184.50757369660093,4.187158492569363,-613,-0.12683633354024415
58,611.75,58.59744954109192,185.95022602635004,4.232504447105291,-612,-0.12665562913907286
59,612.0833333333334,59.44457769393921,185.1321256679271,4.192218197294314,-616,-0.1273779983457403
60,611.5833333333334,57.60297703742981,185.2459249510812,4.181947300196325,-613,-0.12683633354024415
61,612.0,58.37715244293213,184.28445541703104,4.172963176198022,-611,-0.12647484992755123
62,611.75,60.059317111968994,185.95560237043605,4.264251542739455,-612,-0.12665562913907286
63,611.75,59.87959623336792,184.16886401918157,4.233269254510467,-613,-0.12683633354024415
64,611.25,57.460426568984985,184.07119376828555,4.193762761345886,-610,-0.12629399585921325
65,610.9166666666666,57.520421266555786,181.93051276470132,4.110237037305528,-611,-0.12647484992755123
66,611.0,59.63577914237976,184.16796796183394,4.22949890751705,-612,-0.12665562913907286
67,611.0,60.67148947715759,185.67872065000594,4.281837888071171,-612,-0.12665562913907286
68,611.25,60.27725124359131,186.6142045209737,4.293065914886816,-611,-0.12647484992755123
69,610.6666666666666,60.24580001831055,186.84449125932497,4.3325705663992915,-611,-0.12647484992755123
70,610.25,60.35594367980957,187.40452710161887,4.382197053376459,-610,-0.12629399585921325
71,610.8333333333334,60.3016095161438,186.25488552455792,4.305778444217581,-612,-0.12665562913907286
72,610.9166666666666,58.44769024848938,186.4717314026941,4.293091447060152,-612,-0.12665562913907286
73,610.9166666666666,58.11801242828369,186.94574573961168,4.28561495428334,-609,-0.12611306688755436
74,610.9166666666666,57.65399956703186,183.6885772808303,4.198215353135045,-612,-0.12665562913907286
75,611.4166666666666,62.3290011882782,182.3185055962425,4.11302284202644,-612,-0.12665562913907286
76,614.3333333333334,59.27728629112244,181.1097242342354,4.046697994162796,-610,-0.12629399585921325
77,614.0833333333334,59.22204947471619,179.7100826571744,4.03819559850244,-612,-0.12665562913907286
78,613.5833333333334,59.623013496398926,181.18230487939664,4.066533946521871,-613,-0.12683633354024415
79,616.8333333333334,59.69981789588928,179.99861312312422,4.0092795817811036,-624,-0.12881915772089184
80,610.6666666666666,59.339109659194946,183.39825470018516,4.1328287196776445,-610,-0.12629399585921325
81,610.9166666666666,57.75853133201599,184.59628337402032,4.20772296781418,-611,-0.12647484992755123
82,611.3333333333334,58.82373833656311,184.71456294391274,4.223347544905913,-613,-0.12683633354024415
83,611.1666666666666,60.631505489349365,184.82388194032853,4.219077242187007,-611,-0.12647484992755123
84,611.25,58.72893190383911,185.4152797897909,4.228407608843376,-612,-0.12665562913907286
85,611.5833333333334,59.97293996810913,184.84897154606332,4.238899025190606,-610,-0.12629399585921325
86,611.8333333333334,58.704155683517456,186.49234072169054,4.317969169103677,-611,-0.12647484992755123
87,611.3333333333334,61.40154051780701,187.16527978979093,4.328209013194943,-612,-0.12665562913907286
88,611.1666666666666,61.10828471183777,185.1652797897909,4.271333707690898,-612,-0.12665562913907286
89,611.1666666666666,61.10720229148865,186.3059607933751,4.328322560665144,-611,-0.12647484992755123
90,611.4166666666666,62.04575967788696,183.36510057832137,4.369232956878614,-612,-0.12665562913907286
