,avg_makespans,tictoc,avg_completions,avg_slowdowns,total_rewards,avg_rewards
0,651.3333333333334,52.7826611995697,154.8014805066368,3.072978414188078,-305.6945403230198,-0.06273230870572949
1,651.9166666666666,54.71394920349121,154.77011849946837,3.0549747150959554,-332.08362800500424,-0.06809178347447288
2,650.9166666666666,53.04881453514099,152.8794374958841,2.9821425945340025,-303.6074867483627,-0.06232960105694164
3,650.25,57.343865633010864,153.3086489654182,3.004833308560695,-301.1521599656023,-0.06177480204422612
4,651.0833333333334,54.387540102005005,154.0935952019773,3.0194735085645914,-307.0944827741491,-0.06299374005623572
5,651.5833333333334,56.30534482002258,155.73338014821388,3.0696810382334867,0.0,0.0
6,651.1666666666666,65.26889896392822,153.11510057832137,2.9978756514764435,-309.03432970664664,-0.06348281218295945
7,651.3333333333334,55.1401002407074,152.58642674319597,2.9858856325357603,-311.71733593159104,-0.06399452595598255
8,650.5,57.20045280456543,153.20381025574076,3.00059830497311,-314.9083530171897,-0.06462309727420269
9,651.5,63.11737513542175,151.50309340986263,2.955987737861129,-299.89266104880716,-0.06155432287537093
10,652.0,57.772666215896606,151.1796167073537,2.9394845227380064,-303.8860538656145,-0.062361184868790165
11,653.4166666666666,56.220892906188965,151.36241240627842,2.9498890760058916,-305.1221977673006,-0.062614856919208
12,652.9166666666666,55.391690731048584,150.00040523781962,2.916943429343944,-321.98537449403386,-0.06610251991255058
13,653.0833333333334,57.46184587478638,149.6213729797551,2.892116607571585,-291.48118974062515,-0.05981555299417713
14,653.1666666666666,56.306764364242554,149.9475378543071,2.902735517706123,0.0,0.0
15,653.75,55.53113865852356,147.85345183280168,2.850259942372009,-302.33767535163287,-0.06201798468751443
16,656.3333333333334,54.38320994377136,147.87495720914578,2.8471400950156993,-294.5906424385832,-0.0604784730935297
17,652.5833333333334,54.247308015823364,149.04431204785547,2.8805426041053592,-299.04908919709237,-0.06133082223074085
18,652.6666666666666,56.421881675720215,151.12495720914578,2.9304671707578502,0.0,0.0
19,653.8333333333334,56.29338335990906,150.1357098973178,2.9132328188192567,-294.3544613748328,-0.060405183947226104
20,651.0833333333334,56.79851222038269,150.58373857115296,2.9117600420017893,-290.3253961913884,-0.05955392742387454
21,651.8333333333334,56.862820863723755,151.77728695824973,2.933508331901901,-289.0691876998878,-0.05925977607623776
22,653.4166666666666,56.66923713684082,153.6751364206153,2.990002318024848,0.0,0.0
23,651.75,56.84018063545227,153.26743032742536,2.9909718800320313,-304.1616444154605,-0.06239213218778677
24,650.25,57.302040815353394,153.60614000484472,2.9885156008222373,-307.5872104232156,-0.06319852279088053
25,650.5833333333334,56.24015426635742,153.62316509445046,3.001315356483088,-312.26918156154875,-0.0640552167305741
26,650.75,58.04649567604065,155.25309340986266,3.0419206584130154,-307.05570456858607,-0.06302456990324017
