,RAS_MyRAS_Signal_avg_makespans,RAS_MyRAS_Signal_avg_completions,RAS_MyRAS_Signal_avg_slowdowns,RAS_MyRAS_Signal_global_step,RAS_MyRAS_Signal_tictoc
0,465.0833333333333,116.07095336326212,5.714827908524138,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.9774439334869385
1,463.1666666666667,116.25198784602073,5.758947744501719,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.474194049835205
2,458.0,115.55562769276405,5.729398828889651,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.371347904205322
3,464.3333333333333,116.18589589199776,5.774718826812699,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",8.41356611251831
4,465.25,117.43589589199776,5.838563372001148,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.312816858291626
5,459.0,116.76443995330042,5.827566172877442,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",8.915685176849365
6,467.1666666666667,117.63704531728513,5.921087791032575,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",6.542279958724976
7,466.1666666666667,116.92535949353032,5.835629208572779,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.00799298286438
8,464.5833333333333,116.36693037475636,5.753410964225725,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.004271745681763
9,462.5,116.93589589199776,5.7966168215528535,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.270073175430298
10,297.9166666666667,28.382948298112037,1.684744318164246,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.889281988143921
11,297.8333333333333,28.39765418046498,1.6893882167883698,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.9241578578948975
12,298.25,28.407458102033605,1.692821371642345,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",12.312514066696167
13,298.4166666666667,28.455252219680663,1.6923339074938577,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.770730257034302
14,297.9166666666667,28.364565945170863,1.6892165677850948,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.727154016494751
15,298.3333333333333,28.61211496477871,1.7026736269098386,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.688932180404663
16,297.4166666666667,28.471183592229693,1.6931008914635894,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.788926124572754
17,297.5,28.446673788308118,1.69619451116543,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",8.259143829345703
18,297.3333333333333,28.472409082425767,1.6949509271301688,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.272813081741333
19,297.4166666666667,28.348634572621844,1.6904141081378434,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.786668062210083
20,787.9166666666666,138.09034314551653,4.213109455912147,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",10.598459005355835
21,799.3333333333334,136.81630468397805,4.134986066113314,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",10.088336944580078
22,802.3333333333334,136.25861237628578,4.065933325639868,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",9.089133024215698
23,811.1666666666666,136.6945098121832,4.143814969965755,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",9.083639144897461
24,805.25,139.74418929936266,4.285372783529396,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",11.631582975387573
25,805.6666666666666,139.58553545320885,4.28857451336649,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",9.428185939788818
26,814.5,137.31790724808062,4.160148989935995,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",12.659229040145874
27,819.9166666666666,136.0342534019268,4.059714161567977,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",11.662999868392944
28,818.4166666666666,134.81309955577296,4.073711666577417,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",10.099709033966064
29,817.4166666666666,136.09354827372167,4.1094155836068635,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",10.81379508972168
30,656.9166666666666,132.77727307247395,3.745496042705119,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.807018041610718
31,656.0833333333334,131.8606064058073,3.7168702183985083,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",9.402085065841675
32,655.3333333333334,132.81273406538176,3.746503377872852,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",12.952847003936768
33,655.5,132.9616702355945,3.7409175194765933,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",8.118734121322632
34,656.1666666666666,132.24535817885692,3.7030694437055405,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",8.651427984237671
35,655.3333333333334,132.75954257602007,3.738151496951872,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",8.585811138153076
36,656.25,133.11947165403424,3.750415336174606,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.909550189971924
37,656.75,132.30386881715484,3.6937350626948375,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",9.612328052520752
38,654.4166666666666,132.44216668949525,3.71301761604493,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.66932487487793
