,RAC_avg_makespans,RAC_avg_completions,RAC_avg_slowdowns,RAC_global_step,RAC_tictoc
0,679.5833333333334,106.7461747877286,8.920443665184491,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",3.6584420204162598
1,677.4166666666666,106.49617478772863,8.503950036071446,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",3.7147209644317627
2,682.5833333333334,106.12010641166023,8.612425895879445,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",3.5384750366210938
3,684.5833333333334,106.57737136892518,8.450841640191383,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",3.443429946899414
4,675.9166666666666,105.70557649713032,8.545371767853057,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",3.089956045150757
5,686.8333333333334,107.35301239456622,8.669770832606446,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",3.0778417587280273
6,684.6666666666666,106.46626025781408,8.653498731029087,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",3.099851131439209
7,689.1666666666666,106.04959359114743,8.471227752827224,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",3.111914873123169
8,689.9166666666666,106.89574743730127,8.339421686777445,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",3.316774845123291
9,690.9166666666666,106.02608931764314,8.258606322609714,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",3.167935848236084
10,731.0,154.39790890822374,5.7202379566792025,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.561331033706665
11,732.5833333333334,159.33457557489038,5.685739984399889,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.6962571144104
12,736.0833333333334,159.34624224155706,5.747448025013715,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.714004039764404
13,735.75,156.14624224155708,5.804056918378351,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.637123107910156
14,732.9166666666666,157.6862422415571,5.700677759848548,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.334505081176758
15,731.6666666666666,154.37624224155707,5.795093584676388,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.327980995178223
16,731.0833333333334,155.72457557489037,5.7428470138999,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.273398160934448
17,731.75,156.9995755748904,5.760896715502651,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.467967987060547
18,734.5,152.83790890822374,5.613804804661832,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.599588871002197
19,732.8333333333334,158.9445755748904,5.980222308109462,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.312188148498535
20,483.5833333333333,145.2358010627626,1.5461732028970803,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",2.3113300800323486
21,482.0833333333333,145.3048486818102,1.548818901902056,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",2.636322021484375
22,479.9166666666667,144.02389630085784,1.5232563026093928,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",2.6670470237731934
23,483.5833333333333,144.55246772942925,1.5402398991639699,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",2.192957878112793
24,483.1666666666667,145.11913439609592,1.5524206443083832,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",2.2276511192321777
25,484.9166666666667,145.37865820561976,1.5499090899151435,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",2.1964690685272217
26,481.3333333333333,144.7000867770483,1.5333103838989157,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",2.324451208114624
27,488.3333333333333,145.64770582466736,1.5522400646314625,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",2.6455349922180176
28,486.5833333333333,145.46199153895307,1.5400713684022307,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",2.200319766998291
29,483.4166666666667,144.9215153484769,1.5488358374386149,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",2.2033138275146484
30,623.8333333333334,215.47887898139277,3.352535970064773,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.280742168426514
31,624.3333333333334,215.74624009250388,3.3692360639892516,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.633826017379761
32,625.9166666666666,215.14323083324462,3.343199047357977,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.711426734924316
33,625.4166666666666,214.65711972213353,3.3339501449712734,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.2971320152282715
34,624.5,214.5112863888002,3.314041498604464,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.384071111679077
35,626.3333333333334,215.07147157398538,3.3296705534635898,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.38954496383667
36,625.9166666666666,214.27749009250385,3.329150298011244,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.372985124588013
37,625.25,215.13975861102236,3.3470016536248104,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.275588035583496
38,625.1666666666666,215.35735120361497,3.3355651009294416,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",4.311957120895386
